"Colkat","Familie","Genus","Art","Ref","xylobiont","Rote.Liste","Urwaldrelikt"
"14-.010-.001-.","Leiodidae","Sciodrepoides","watsoni","(Spence, 1815)","n","n","n"
"16-.007-.001-.","Leiodidae","Anisotoma","humeralis","(Herbst, 1791)","j","n","n"
"16-.011-.007-.","Leiodidae","Agathidium","rotundatum","(Gyllenhal, 1827)","n","n","n"
"16-.011-.013-.","Leiodidae","Agathidium","nigripenne","(Fabricius, 1792)","j","n","n"
"16-.011-.016-.","Leiodidae","Agathidium","laevigatum","Erichson, 1845","n","n","n"
"16-.011-.018-.","Leiodidae","Agathidium","badium","Erichson, 1845","n","n","n"
"18-.005-.001-.","Staphylinidae","Neuraphes","elongatulus","(Muller & Kunze, 1822)","n","n","n"
"18-.006-.004-.","Staphylinidae","Scydmoraphes","minutus","(Chaudoir, 1845)","j","2","n"
"18-.007-.003-.","Staphylinidae","Stenichnus","scutellaris","(Muller & Kunze, 1822)","n","n","n"
"18-.007-.005-.","Staphylinidae","Stenichnus","godarti","(Latreille, 1806)","j","n","n"
"18-.007-.0081.","Staphylinidae","Stenichnus","collaris","(Muller & Kunze, 1822)","n","n","n"
"18-.009-.015-.","Staphylinidae","Euconnus","pragensis","(Machulka, 1923)","j","3","n"
"18-.010-.002-.","Staphylinidae","Scydmaenus","rufus","Muller & Kunze, 1822","n","n","n"
"21-.002-.003-.","Ptiliidae","Ptenidium","turgidum","(Thomson, 1855)","j","3","n"
"21-.012-.002-.","Ptiliidae","Ptinella","limbata","(Heer, 1841)","j","n","n"
"21-.012-.004-.","Ptiliidae","Ptinella","aptera","(Guerin-Meneville, 1839)","j","n","n"
"21-.019-.001-.","Ptiliidae","Acrotrichis","grandicollis","(Mannerheim, 1844)","n","n","n"
"23-.002-.001-.","Staphylinidae","Siagonium","quadricorne","(Kirby & Spence, 1815)","j","3","n"
"23-.0022.001-.","Staphylinidae","Scaphidium","quadrimaculatum","(Olivier, 1790)","j","n","n"
"23-.0023.001-.","Staphylinidae","Scaphisoma","agaricinum","(Linnaeus, 1758)","j","n","n"
"23-.010-.024-.","Staphylinidae","Eusphalerum","signatum","(Markel, 1857)","n","n","n"
"23-.010-.025-.","Staphylinidae","Eusphalerum","limbatum","(Erichson, 1840)","n","3","n"
"23-.017-.004-.","Staphylinidae","Xylodromus","testaceus","(Erichson, 1840)","n","3","n"
"23-.0481.003-.","Staphylinidae","Antylus","rugosus","(Fabricius, 1775)","n","n","n"
"23-.055-.011-.","Staphylinidae","Stenus","jun","(Paykull, 1789)","n","n","n"
"23-.055-.026-.","Staphylinidae","Stenus","bimaculatus","(Gyllenhal, 1810)","n","n","n"
"23-.080-.010-.","Staphylinidae","Xantholinus","linearis","(Olivier, 1795)","n","n","n"
"23-.080-.015-.","Staphylinidae","Xantholinus","longiventris","Heer, 1839","n","n","n"
"23-.104-.0001.","Staphylinidae","Quedius","dilatatus","(Fabricius, 1787)","j","n","n"
"23-.1091.002-.","Staphylinidae","Ischnsoma","longicorne","(Maklin, 1847)","n","n","n"
"23-.111-.006-.","Staphylinidae","Lordithon","trintatus","(Erichson, 1839)","n","n","n"
"23-.114-.007-.","Staphylinidae","Tachyporus","hypnrum","(Fabricius, 1775)","n","n","n"
"23-.1262.001-.","Staphylinidae","Cypha","longicornis","(Paykull, 1800)","n","n","n"
"24-.002-.002-.","Staphylinidae","Bibloporus","bicolor","(Denny, 1825)","j","n","n"
"24-.002-.003-.","Staphylinidae","Bibloporus","minutus","Raffray, 1914","j","n","n"
"24-.008-.002-.","Staphylinidae","Plectophloeus","fleischeri","Machulka, 1929","j","1","n"
"24-.008-.009-.","Staphylinidae","Plectophloeus","fischeri","(Aube, 1833)","j","n","n"
"24-.015-.001-.","Staphylinidae","Batrisodes","delaporti","(Aube, 1833)","j","n","n"
"24-.015-.005-.","Staphylinidae","Batrisodes","buqueti","(Aube, 1833)","j","2","2"
"24-.017-.001-.","Staphylinidae","Bythinus","macropalpus","Aube, 1833","n","n","n"
"24-.017-.002-.","Staphylinidae","Bythinus","burrellii","Denny, 1825","n","n","n"
"24-.020-.001-.","Staphylinidae","Tychus","niger","(Paykull, 1800)","n","n","n"
"24-.019-.001-.","Staphylinidae","Rybaxis","longicornis","(Leach, 1817)","n","n","n"
"26-.002-.001-.","Lampyridae","Lamprohiza","splendidula","(Linnaeus, 1767)","n","n","n"
"26-.003-.001-.","Lampyridae","Phosphaenus","hemipterus","(Geoffroy, 1777)","n","3","n"
"27-.002-.005-.","Cantharidae","Cantharis","fusca","(Linnaeus, 1758)","n","n","n"
"27-.002-.007-.","Cantharidae","Cantharis","rustica","(Fallen, 1807)","n","n","n"
"27-.002-.008-.","Cantharidae","Cantharis","pellucida","(Fabricius, 1792)","n","n","n"
"27-.002-.009-.","Cantharidae","Cantharis","flavilabris","(Fallen, 1807)","n","n","n"
"27-.002-.017-.","Cantharidae","Cantharis","lateralis","(Linnaeus, 1758)","n","n","n"
"27-.002-.018-.","Cantharidae","Cantharis","nigricans","(Muller, 1776)","n","n","n"
"27-.002-.025-.","Cantharidae","Cantharis","decipiens","(Baudi, 1872)","n","n","n"
"27-.002-.026-.","Cantharidae","Cantharis","livida","(Linnaeus, 1758)","n","n","n"
"27-.002-.027-.","Cantharidae","Cantharis","rufa","(Linnaeus, 1758)","n","n","n"
"27-.005-.002-.","Cantharidae","Rhagonycha","fulva","(Scopoli, 1763)","n","n","n"
"27-.005-.005-.","Cantharidae","Rhagonycha","testacea","(Linnaeus, 1758)","n","n","n"
"27-.005-.008-.","Cantharidae","Rhagonycha","lignsa","(Muller, 1764)","n","n","n"
"27-.008-.001-.","Cantharidae","Malthinus","flaveolus","(Herbst, 1786)","j","n","n"
"27-.008-.004-.","Cantharidae","Malthinus","balteatus","(Suffrian, 1851)","j","n","n"
"27-.008-.005-.","Cantharidae","Malthinus","facialis","(Thomson, 1864)","j","3","n"
"27-.008-.011-.","Cantharidae","Malthinus","moravicus","(Svihla, 1997","n","n","n"
"27-.009-.016-.","Cantharidae","Malthodes","marginatus","(Latreille, 1806)","j","n","n"
"27-.009-.021-.","Cantharidae","Malthodes","hexacanthus","Kiesenwetter, 1852","j","n","n"
"27-.009-.022-.","Cantharidae","Malthodes","pumilus","(Brebisson, 1835)","j","n","n"
"28-.001-.001-.","Drilidae","Drilus","concolor","Ahrens, 1812","n","n","n"
"29-.003-.001-.","Malachiidae","Hypebaeus","flavipes","(Fabricius, 1798)","j","3","n"
"29-.004-.001-.","Malachiidae","Charopus","flavipes","(Paykull, 1798)","n","n","n"
"29-.006-.0032.","Malachiidae","Malachius","bipustulatus","(Linnaeus, 1758)","j","n","n"
"29-.0063.006-.","Malachiidae","Clanptilus","elegans","(Olivier, 1790)","n","3","n"
"29-.0064.001-.","Malachiidae","Cordylepherus","viridis","(Fabricius, 1787)","n","n","n"
"29-.007-.001-.","Malachiidae","Anthocomus","rufus","(Herbst, 1784)","n","n","n"
"29-.007-.002-.","Malachiidae","Anthocomus","fasciatus","(Linnaeus, 1758)","n","n","n"
"29-.012-.009-.","Malachiidae","Ebaeus","flavicornis","Erichson, 1840","n","3","n"
"29-.014-.002-.","Malachiidae","Axintarsus","pulicarius","(Fabricius, 1777)","n","n","n"
"29-.014-.003-.","Malachiidae","Axintarsus","marginalis","(Laporte de Castelnau, 1840)","n","n","n"
"30-.002-.001-.","Dasytidae","Aplocnemus","impressus","(Marsham, 1802)","j","n","n"
"30-.005-.008-.","Dasytidae","Dasytes","plumbeus","(Muller, 1776)","j","n","n"
"30-.005-.009-.","Dasytidae","Dasytes","aeratus","Stephens, 1829","j","n","n"
"31-.002-.001-.","Cleridae","Tillus","elongatus","(Linnaeus, 1758)","j","3","n"
"31-.006-.001-.","Cleridae","Opilo","pallidus","(Olivier, 1795)","j","1","n"
"31-.006-.002-.","Cleridae","Opilo","mollis","(Linnaeus, 1758)","j","n","n"
"31-.007-.001-.","Cleridae","Thanasimus","formicarius","(Linnaeus, 1758)","j","n","n"
"31-.011-.001-.","Cleridae","Dermestoides","sanguinicollis","(Fabricius, 1787)","j","1","2"
"321.001-.001-.","Trogossitidae","Nemozoma","elongatum","(Linnaeus, 1761)","j","n","n"
"34-.001-.008-.","Elateridae","Ampedus","balteatus","(Linnaeus, 1758)","j","n","n"
"34-.001-.011-.","Elateridae","Ampedus","cardinalis","(Schiodte, 1865)","j","1","1"
"34-.001-.012-.","Elateridae","Ampedus","scrofa","(Germar, 1844)","j","n","n"
"34-.001-.013-.","Elateridae","Ampedus","brunnicornis","(Germar, 1844)","j","1","1"
"34-.001-.017-.","Elateridae","Ampedus","pomonae","(Stephens, 1830)","j","n","n"
"34-.001-.019-.","Elateridae","Ampedus","pomorum","(Herbst, 1784)","j","n","n"
"34-.001-.021-.","Elateridae","Ampedus","nigroflavus","(Goeze, 1777)","j","3","n"
"34-.001-.022-.","Elateridae","Ampedus","elongatulus","(Fabricius, 1787)","j","3","n"
"34-.0011.001-.","Elateridae","Brachygonus","megerlei","(Lacordaire, 1835)","j","2","n"
"34-.004-.001-.","Elateridae","Procraerus","tibialis","(Lacordaire, 1835)","j","2","n"
"34-.007-.001-.","Elateridae","Elater","ferrugineus","(Linnaeus, 1758)","j","2","2"
"34-.009-.001-.","Elateridae","Dalopius","marginatus","(Linnaeus, 1758)","n","n","n"
"34-.010-.002-.","Elateridae","Agriotes","pallidulus","(Illiger, 1807)","n","n","n"
"34-.010-.003-.","Elateridae","Agriotes","acuminatus","(Stephens, 1830)","n","n","n"
"34-.010-.009-.","Elateridae","Agriotes","lineatus","(Linnaeus, 1767)","n","n","n"
"34-.010-.011-.","Elateridae","Agriotes","obscurus","(Linnaeus, 1758)","n","n","n"
"34-.010-.014-.","Elateridae","Agriotes","sputator","(Linnaeus, 1758)","n","n","n"
"34-.0101.001-.","Elateridae","Ectinus","aterrimus","(Linnaeus, 1761)","n","n","n"
"34-.016-.002-.","Elateridae","Melantus","villosus","(Fourcroy, 1785)","j","n","n"
"34-.018-.004-.","Elateridae","Lacon","querceus","(Herbst, 1784)","j","1","1"
"34-.033-.004-.","Elateridae","Denticollis","linearis","(Linnaeus, 1758)","j","n","n"
"34-.034-.001-.","Elateridae","Cidnpus","pilosus","(Leske, 1785)","n","n","n"
"34-.038-.002-.","Elateridae","Stenagostus","rhombeus","(Olivier, 1790)","j","3","n"
"34-.039-.002-.","Elateridae","Hemicrepidius","hirtus","(Herbst, 1784)","n","n","n"
"34-.041-.001-.","Elateridae","Athous","haemorrhoidalis","(Fabricius, 1801)","n","n","n"
"34-.041-.002-.","Elateridae","Athous","vittatus","(Gmelin, 1790)","n","n","n"
"34-.041-.003-.","Elateridae","Athous","subfuscus","(Muller, 1764)","n","n","n"
"34-.041-.004-.","Elateridae","Athous","zebei","Bach, 1854","n","n","n"
"34-.041-.011-.","Elateridae","Athous","bicolor","(Goeze, 1777)","n","n","n"
"35-.001-.001-.","Cerophytidae","Cerophytum","elaterolides","(Latreille, 1804)","j","2","2"
"36-.001-.001-.","Eucnemidae","Melasis","buprestoides","(Linnaeus, 1761)","j","n","n"
"36-.003-.001-.","Eucnemidae","Eucnemis","capucina","Ahrens, 1812","j","3","n"
"36-.004-.001-.","Eucnemidae","Dromaeolus","barnabita","(Villa, 1837)","j","2","n"
"36-.0082.003-.","Eucnemidae","Microrhagus","pygmaeus","(Fabricius, 1792)","j","3","n"
"36-.011-.002-.","Eucnemidae","Hylis","cariniceps","(Reitter, 1902)","j","3","n"
"37-.001-.002-.","Throscidae","Trixagus","dermestoides","(Linnaeus, 1767)","n","n","n"
"37-.001-.003-.","Throscidae","Trixagus","carinifrons","(Bonvouloir, 1859)","n","n","n"
"37-.001-.0031.","Throscidae","Trixagus","gracilis","Wollaston, 1854","n","n","n"
"37-.001-.0033.","Throscidae","Trixagus","meybohmi","(Leseigneur, 2005)","n","n","n"
"37-.002-.001-.","Throscidae","Aulonthroscus","brevicollis","(Bonvouloir, 1859)","n","n","n"
"38-.015-.015-.","Buprestidae","Anthaxia","nitidula","(Linnaeus, 1758)","j","n","n"
"38-.016-.002-.","Buprestidae","Chrysobothris","affinis","(Fabricius, 1794)","j","n","n"
"38-.020-.004-.","Buprestidae","Agrilus","laticornis","(Illiger, 1803)","j","n","n"
"38-.020-.007-.","Buprestidae","Agrilus","sulcicollis","(Boisduval & Lacordaire, 1835)","j","n","n"
"38-.020-.014-.","Buprestidae","Agrilus","convexicollis","(Redtenbacher, 1849)","j","n","n"
"40-.003-.009-.","Scirtidae","Contacyphon","pubescens","(Fabricius, 1792)","n","n","n"
"40-.003-.011-.","Scirtidae","Contacyphon","padi","(Linnaeus, 1758)","n","n","n"
"40-.004-.001-.","Scirtidae","Prioncyphon","serricornis","(P. W. J. Muller, 1821)","j","3","n"
"45-.001-.006-.","Dermestidae","Dermestes","undulatus","(Brahm, 1790)","n","n","n"
"45-.002-.001-.","Dermestidae","Attagenus","schaefferi","(Herbst, 1792)","j","n","n"
"45-.002-.002-.","Dermestidae","Attagenus","unicolor","(Brahm, 1791)","n","n","n"
"45-.002-.004-.","Dermestidae","Attagenus","punctatus","(Scopoli, 1772)","j","2","n"
"45-.005-.001-.","Dermestidae","Globicornis","nigripes","(Fabricius, 1792)","j","3","n"
"45-.006-.001-.","Dermestidae","Megatoma","undata","(Linnaeus, 1758)","j","3","n"
"45-.007-.001-.","Dermestidae","Ctesias","serra","(Fabricius, 1792)","j","n","n"
"45-.008-.002-.","Dermestidae","Anthrenus","pimpinellae","(Fabricius, 1775)","n","n","n"
"45-.008-.005-.","Dermestidae","Anthrenus","scrophulariae","(Linnaeus, 1758)","n","n","n"
"45-.008-.014-.","Dermestidae","Anthrenus","fuscus","(Olivier, 1790)","n","n","n"
"45-.008-.015-.","Dermestidae","Anthrenus","polonicus","(Mroczkowski, 1951)","n","n","n"
"47-.011-.001-.","Byrrhidae","Byrrhus","fasciatus","(Forster, 1771)","n","n","n"
"49-.001-.001-.","Byturidae","Byturus","tomentosus","(De Geer, 1774)","n","n","n"
"491.003-.002-.","Bothrideridae","Oxylaemus","variolosus","(Dufour, 1843)","j","1","2"
"492.002-.002-.","Cerylonidae","Cerylon","histeroides","(Fabricius, 1792)","j","n","n"
"492.002-.003-.","Cerylonidae","Cerylon","ferrugineum","(Stephens, 1830)","j","n","n"
"492.002-.005-.","Cerylonidae","Cerylon","deplanatum","(Gyllenhal, 1827)","j","3","n"
"50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","(Fabricius, 1775)","n","n","n"
"50-.009-.001-.","Nitidulidae","Epuraea","melancephala","(Marsham, 1802)","n","n","n"
"50-.009-.005-.","Nitidulidae","Epuraea","neglecta","(Heer, 1841)","j","n","n"
"50-.009-.007-.","Nitidulidae","Epuraea","pallescens","(Stephens, 1835)","j","n","n"
"50-.009-.015-.","Nitidulidae","Epuraea","marseuli","(Reitter, 1872","j","n","n"
"50-.009-.027-.","Nitidulidae","Epuraea","unicolor","(Olivier, 1790)","n","n","n"
"50-.013-.002-.","Nitidulidae","Soronia","grisea","(Linnaeus, 1758)","n","n","n"
"50-.020-.001-.","Nitidulidae","Cryptarcha","strigata","(Fabricius, 1787)","j","n","n"
"50-.020-.002-.","Nitidulidae","Cryptarcha","undata","(Olivier, 1790)","j","n","n"
"50-.021-.001-.","Nitidulidae","Glischrochilus","quadriguttatus","(Fabricius, 1776)","j","n","n"
"50-.021-.002-.","Nitidulidae","Glischrochilus","hortensis","(Geoffroy in Fourcroy, 1785)","n","n","n"
"50-.021-.003-.","Nitidulidae","Glischrochilus","quadripunctatus","(Linnaeus, 1758)","j","n","n"
"52-.001-.006-.","Montomidae","Rhizophagus","perforatus","(Erichson, 1845)","j","n","n"
"52-.001-.008-.","Montomidae","Rhizophagus","dispar","(Paykull, 1800)","j","n","n"
"52-.001-.009-.","Montomidae","Rhizophagus","bipustulatus","(Fabricius, 1792)","j","n","n"
"52-.001-.012-.","Montomidae","Rhizophagus","fenestralis","(Linnaeus, 1758)","j","n","n"
"53-.015-.001-.","Cucujidae","Pediacus","depressus","(Herbst, 1797)","j","n","n"
"531.004-.001-.","Silvanidae","Ahasverus","advena","(Waltl, 1834)","n","n","n"
"531.006-.001-.","Silvanidae","Silvanus","bidentatus","(Fabricius, 1792)","j","n","n"
"531.006-.002-.","Silvanidae","Silvanus","unidentatus","(Olivier, 1790)","j","n","n"
"531.011-.001-.","Silvanidae","Uleiota","planatus","(Linnaeus, 1761)","j","n","n"
"54-.001-.001-.","Erotylidae","Tritoma","bipustulata","Fabricius, 1775","j","n","n"
"54-.002-.008-.","Erotylidae","Triplax","lepida","(Faldermann, 1837)","j","2","n"
"54-.003-.003-.","Erotylidae","Dacne","rufifrons","(Fabricius, 1775)","j","2","n"
"54-.003-.004-.","Erotylidae","Dacne","bipustulata","(Thunberg, 1781)","j","n","n"
"541.002-.001-.","Biphyllidae","Diplocoelus","fagi","(Guerin-Meneville, 1838)","j","n","n"
"551.005-.002-.","Erotylidae","Cryptophilus","obliteratus","(Reitter, 1874)","n","n","n"
"55-.008-.019-.","Cryptophagidae","Cryptophagus","pubescens","(Sturm, 1845)","n","n","n"
"55-.008-.020-.","Cryptophagidae","Cryptophagus","micaceus","(Rey, 1889)","j","2","n"
"55-.008-.023-.","Cryptophagidae","Cryptophagus","labilis","(Erichson, 1846)","j","2","n"
"55-.008-.027-.","Cryptophagidae","Cryptophagus","dentatus","(Herbst, 1793)","n","n","n"
"55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","(Mannerheim, 1843)","n","n","n"
"55-.008-.028-.","Cryptophagidae","Cryptophagus","denticulatus","(Heer, 1841)","n","n","n"
"55-.008-.042-.","Cryptophagidae","Cryptophagus","punctipennis","(Brisout de Barneville, 1863)","n","n","n"
"55-.011-.001-.","Cryptophagidae","Antherophagus","pallens","(Linnaeus, 1758","n","n","n"
"55-.014-.014-.","Cryptophagidae","Atomaria","fuscata","(Schonherr, 1808)","n","n","n"
"55-.014-.016-.","Cryptophagidae","Atomaria","lewisi","(Reitter, 1877","n","n","n"
"55-.014-.021-.","Cryptophagidae","Atomaria","basalis","(Erichson, 1846","n","n","n"
"55-.014-.025-.","Cryptophagidae","Atomaria","atricapilla","(Stephens, 1830","n","n","n"
"55-.014-.028-.","Cryptophagidae","Atomaria","analis","(Erichson, 1846","n","n","n"
"55-.014-.036-.","Cryptophagidae","Atomaria","testacea","(Stephens, 1830","n","n","n"
"55-.014-.044-.","Cryptophagidae","Atomaria","puncticollis","(Thomson, 1868","n","n","n"
"55-.014-.046-.","Cryptophagidae","Atomaria","linearis","(Stephens, 1830","n","n","n"
"56-.002-.001-.","Phalacridae","Olibrus","aeneus","(Fabricius, 1792)","n","n","n"
"56-.002-.003-.","Phalacridae","Olibrus","millefolii","(Paykull, 1800)","n","n","n"
"56-.002-.004-.","Phalacridae","Olibrus","corticalis","(Panzer, 1797)","n","n","n"
"561.002-.001-.","Laemophloeidae","Placontus","testaceus","(Fabricius, 1787)","j","n","n"
"561.004-.001-.","Laemophloeidae","Cryptolestes","duplicatus","(Waltl, 1839)","j","n","n"
"561.005-.003-.","Laemophloeidae","Leptophloeus","alternans","(Erichson, 1846)","j","n","n"
"58-.003-.0081.","Latridiidae","Latridius","hirtus","(Gyllenhal, 1827)","j","3","n"
"58-.004-.009-.","Latridiidae","Enicmus","brevicornis","(Mannerheim, 1844)","j","3","n"
"58-.004-.010-.","Latridiidae","Enicmus","fungicola","(Thomson, 1868","j","n","n"
"58-.004-.012-.","Latridiidae","Enicmus","rugosus","(Herbst, 1793)","n","n","n"
"58-.004-.013-.","Latridiidae","Enicmus","testaceus","(Stephens, 1830)","j","2","n"
"58-.004-.014-.","Latridiidae","Enicmus","transversus","(Olivier, 1790)","j","n","n"
"58-.004-.015-.","Latridiidae","Enicmus","histrio","(Joy & Tomlin, 1910","n","n","n"
"58-.004-.016-.","Latridiidae","Enicmus","atriceps","(Hansen, 1962","j","2","n"
"58-.005-.0031.","Latridiidae","Cartodere","ndifer","(Westwood, 1839)","n","n","n"
"58-.0061.001-.","Latridiidae","Stephostethus","lardarius","(De Geer, 1775)","n","n","n"
"58-.0061.002-.","Latridiidae","Stephostethus","angusticollis","(Gyllenhal, 1827)","n","n","n"
"58-.0061.006-.","Latridiidae","Stephostethus","alternans","(Mannerheim, 1844)","j","n","n"
"58-.007-.008-.","Latridiidae","Corticaria","impressa","(Olivier, 1790)","n","n","n"
"58-.007-.011-.","Latridiidae","Corticaria","serrata","(Paykull, 1798)","n","n","n"
"58-.007-.0172.","Latridiidae","Corticaria","alleni","(Johnson, 1974)","j","2","n"
"58-.008-.005-.","Latridiidae","Corticarina","minuta","(Fabricius, 1792)","n","n","n"
"58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","(Herbst, 1793)","n","n","n"
"59-.003-.001-.","Mycetophagidae","Litargus","connexus","(Geoffrey, 1785)","j","n","n"
"59-.004-.001-.","Mycetophagidae","Mycetophagus","quadripustulatus","(Linnaeus, 1760)","j","n","n"
"59-.004-.003-.","Mycetophagidae","Mycetophagus","piceus","(Fabricius, 1777)","j","3","n"
"59-.004-.004-.","Mycetophagidae","Mycetophagus","salicis","(Brisout de Barneville, 1862)","j","2","n"
"59-.004-.006-.","Mycetophagidae","Mycetophagus","atomarius","(Fabricius, 1787)","j","n","n"
"59-.004-.009-.","Mycetophagidae","Mycetophagus","fulvicollis","(Fabricius, 17923)","j","2","n"
"59-.004-.010-.","Mycetophagidae","Mycetophagus","populi","(Fabricius, 1798)","j","2","n"
"59-.006-.001-.","Mycetophagidae","Berginus","tamarisci","(Wollaston, 1854)","n","n","n"
"60-.003-.001-.","Zopheridae","Pycnmerus","terebrans","(Olivier, 1790)","j","1","2"
"60-.013-.001-.","Zopheridae","Synchita","humeralis","(Fabricius, 1792)","j","n","n"
"60-.013-.005-.","Zopheridae","Synchita","undata","(Guerin-Meneville, 1844","j","n","n"
"60-.016-.001-.","Zopheridae","Bitoma","crenata","(Fabricius, 1775)","j","n","n"
"60-.018-.001-.","Zopheridae","Colydium","elongatum","(Fabricius, 1787)","j","3","n"
